id,quizId,type,question,options,correctAnswer,items,text,blanks,distractors,sentence,words,correctWordIndexes,image
q-1770211296984-0,quiz-1770205530380,MCQ,Mục đích chính của việc quy đồng mẫu số hai phân số là gì?,A. Để làm cho tử số bằng nhau|B. Để đưa hai phân số về cùng một mẫu số|C. Để làm cho phân số nhỏ đi|D. Để biến đổi phân số thành số tự nhiên,B,,,,,,,,
q-1770211296984-1,quiz-1770205530380,MCQ,Mẫu số chung nhỏ nhất của hai phân số $\frac{1}{3}$ và $\frac{1}{6}$ là bao nhiêu?,A. 3|B. 6|C. 9|D. 18,B,,,,,,,,
q-1770211296984-2,quiz-1770205530380,SHORT_ANSWER,Tìm mẫu số chung nhỏ nhất của hai phân số $\frac{2}{5}$ và $\frac{3}{10}$.,,10,,,,,,,,
q-1770211296984-3,quiz-1770205530380,TRUE_FALSE,Đánh giá các phát biểu sau về việc chọn mẫu số chung (MSC):,,,"[{""statement"":""MSC phải là số chia hết cho mẫu số của cả hai phân số."",""isCorrect"":true},{""statement"":""MSC bắt buộc phải là tích của hai mẫu số."",""isCorrect"":false}]",,,,,,,
q-1770211296984-4,quiz-1770205530380,MCQ,"Khi quy đồng mẫu số hai phân số $\frac{5}{9}$ và $\frac{4}{3}$, ta nên chọn mẫu số chung là số nào để đơn giản nhất?",A. 27|B. 12|C. 9|D. 3,C,,,,,,,,
q-1770211296984-6,quiz-1770205530380,MCQ,"Để quy đồng mẫu số phân số $\frac{3}{4}$ thành phân số có mẫu số là 12, ta cần nhân cả tử và mẫu của phân số đó với số nào?",A. 2|B. 3|C. 4|D. 5,B,,,,,,,,
q-1770211296984-7,quiz-1770205530380,SHORT_ANSWER,Điền số thích hợp vào chỗ chấm: $\frac{2}{5}$ = \frac{...}{15}$,,6,,,,,,,,
q-1770211296984-8,quiz-1770205530380,MULTIPLE_SELECT,Những số nào sau đây có thể dùng làm mẫu số chung cho hai phân số $\frac{1}{2}$ và $\frac{1}{5}$? (Chọn tất cả đáp án đúng)(MSC chia hết cho cả 2 và 5),A. 10|B. 15|C. 20|D. 7,"[""A"",""C""]",,,,,,,,
q-1770211296984-9,quiz-1770205530380,MCQ,Phân số nào dưới đây đã được quy đồng từ phân số $\frac{1}{2}$ với mẫu số chung là 8?,A. $\frac{2}{8}$|B. $\frac{4}{8}$|C. $\frac{1}{8}$|D. $\frac{6}{8}$,B,,,,,,,,
q-1770211296984-10,quiz-1770205530380,MCQ,"Quy đồng mẫu số hai phân số $\frac{1}{2}$ và $\frac{3}{4}$, ta được hai phân số nào?",A. $\frac{2}{4}$ và $\frac{3}{4}$|B. $\frac{1}{4}$ và $\frac{3}{4}$|C. $\frac{4}{4}$ và $\frac{3}{4}$|D. $\frac{3}{4}$ và $\frac{3}{4}$,A,,,,,,,,
q-1770211296984-11,quiz-1770205530380,MCQ,Quy đồng mẫu số các phân số $\frac{1}{2}$ và $\frac{3}{10}$ với mẫu số chung là 10. Kết quả là:,A. $\frac{5}{10}$ và $\frac{3}{10}$|B. $\frac{1}{10}$ và $\frac{6}{10}$|C. $\frac{5}{10}$ và $\frac{6}{10}$|D. $\frac{2}{10}$ và $\frac{5}{10}$,A,,,,,,,,
q-1770211296984-12,quiz-1770205530380,DRAG_DROP,Điền các số thích hợp vào chỗ trống để hoàn thành quy đồng mẫu số:,,,,"Quy đồng mẫu số $\frac{3}{4}$ và $\frac{5}{8}$ (MSC là 8):
Giữ nguyên phân số [5/8].
Biến đổi: $\frac{3}{4} = \frac{3 \times 2}{4 \times 2} = $ [6/8].","[""5/8"",""6/8""]","[""3/8"",""8/8""]",,,,
q-1770211296984-18,quiz-1770205530380,DROPDOWN,Chọn số thích hợp để hoàn thành phép quy đồng:,,,,"Quy đồng $\frac{7}{9}$ và $\frac{2}{3}$:
Ta chọn MSC là [1].
Ta có $\frac{2}{3} = \frac{2 \times 3}{3 \times 3} = $ [2].","[{""id"":""blank-1"",""options"":[""9"",""27"",""3""],""correctAnswer"":""9""},{""id"":""blank-2"",""options"":[""6/9"",""5/9"",""7/9""],""correctAnswer"":""6/9""}]",[],,,,
q-1770211296984-20,quiz-1770205530380,MCQ,"Quy đồng mẫu số ba phân số: $\frac{1}{2}$ ; $\frac{1}{3}$ ; $\frac{1}{5}$. Mẫu số chung nhỏ nhất là: (MSC  nhỏ nhất là số chia hết cho 2,3 và 5)",A. 10|B. 15|C. 30|D. 60,C,,,,,,,,
q-1770211296984-23,quiz-1770205530380,TRUE_FALSE,Bạn Lan quy đồng mẫu số hai phân số $\frac{5}{12}$ và $\frac{3}{4}$. Hãy kiểm tra bài làm của Lan:,,,"[{""statement"":""Lan chọn MSC là 12."",""isCorrect"":true},{""statement"":""Lan biến đổi $\\frac{3}{4}$ thành $\\frac{9}{12}$."",""isCorrect"":true},{""statement"":""Lan biến đổi $\\frac{5}{12}$ thành $\\frac{15}{12}$."",""isCorrect"":false}]",,,,,,,
q-1770211296984-24,quiz-1770205530380,DRAG_DROP,Điền từ thích hợp vào chỗ trống để hoàn thành câu kết luận:,,,,"Muốn quy đồng mẫu số hai phân số, ta có thể lấy tử số và mẫu số của phân số thứ nhất [nhân] với mẫu số của phân số thứ hai. Sau đó, lấy tử số và mẫu số của phân số thứ hai nhân với [mẫu số] của phân số thứ nhất.","[""nhân"",""mẫu số""]","[""chia"",""tử số""]",,,,
q-1770211296984-25,quiz-1770205530380,MCQ,Mẹ có một cái bánh. Mẹ cho Anh $\frac{1}{2}$ cái bánh và cho Em $\frac{1}{4}$ cái bánh. Hỏi ai được nhiều bánh hơn?,A. Anh|B. Em|C. Hai người bằng nhau|D. Không so sánh được,A,,,,,,,,
q-1770211296984-26,quiz-1770205530380,SHORT_ANSWER,"Tìm mẫu số chung nhỏ nhất của ba phân số: $\frac{2}{3}$ ; $\frac{3}{4}$ ; $\frac{4}{5}$. (Số nhỏ nhất chia hết cho 3, 4 và 5)",,60,,,,,,,,
q-1770211296984-29,quiz-1770205530380,SHORT_ANSWER,"Một vòi nước chảy vào bể. Giờ đầu chảy được $\frac{2}{5}$ bể, giờ thứ hai chảy được $\frac{4}{10}$ bể. Hỏi sau 2 giờ vòi chảy được bao nhiêu phần bể? (Viết kết quả dưới dạng phân số tối giản a/b)",,4/5,,,,,,,,
q-manual-1770212602050,quiz-1770205530380,MCQ,"Quy đồng mẫu số hai phân số $\frac{1}{17}$  và $\frac{5}{34}$ với mẫu số chung nhỏ nhất, ta được hai phân số mới lần lượt là",$\frac{5}{17}$ và $\frac{1}{17}$ |$\frac{5}{34}$ và $\frac{17}{34}$|$\frac{1}{34}$ và $\frac{5}{34}$|$\frac{2}{34}$ và $\frac{5}{34}$,D,,,,,,,,
q-1770115951320-0,quiz-1770115951320,MCQ,Điền dấu thích hợp vào chỗ chấm: $\frac{3}{7}$ ... $\frac{5}{7}$,A. >|B. <|C. =|D. Không so sánh được,B,,,,,,,,
q-1770115951320-1,quiz-1770115951320,MCQ,Phân số nào lớn hơn trong hai phân số sau: $\frac{8}{15}$ và $\frac{11}{15}$?,A. $\frac{8}{15}$|B. $\frac{11}{15}$|C. Hai phân số bằng nhau|D. Không xác định,B,,,,,,,,
q-1770115951320-2,quiz-1770115951320,TRUE_FALSE,Đánh giá tính đúng sai của các phép so sánh sau:,,,"[{""statement"":""$\\frac{4}{9}$ < \\frac{7}{9}$"",""isCorrect"":true},{""statement"":""$\\frac{12}{20}$ > \\frac{15}{20}$"",""isCorrect"":false},{""statement"":""$\\frac{5}{5}$ = 1$"",""isCorrect"":true}]",,,,,,,
q-1770115951320-3,quiz-1770115951320,SHORT_ANSWER,"Điền dấu (>, <, =) thích hợp vào chỗ trống: $\frac{9}{10}$ ... $\frac{7}{10}$",,>,,,,,,,,
q-1770115951320-4,quiz-1770115951320,MATCHING,,,,"[{""left"":""$\\frac{2}{5}$ ... $\\frac{4}{5}$"",""right"":""<""},{""left"":""$\\frac{7}{8}$ ... $\\frac{3}{8}$"",""right"":"">""},{""left"":""$\\frac{6}{6}$ ... $\\frac{9}{9}$"",""right"":""=""}]",,,,,,,
q-1770115951320-5,quiz-1770115951320,MCQ,"Trong các phân số sau, phân số nào lớn nhất: $\frac{2}{9}$ , $\frac{5}{9}$ , $\frac{1}{9}$ , $\frac{8}{9}$?",A. $\frac{2}{9}$|B. $\frac{5}{9}$|C. $\frac{1}{9}$|D. $\frac{8}{9}$,D,,,,,,,,
q-1770115951320-6,quiz-1770115951320,MCQ,"Trong các phân số sau, phân số nào bé nhất: $\frac{12}{17}$ , $\frac{5}{17}$ , $\frac{15}{17}$ , $\frac{8}{17}$?",A. $\frac{12}{17}$|B. $\frac{5}{17}$|C. $\frac{15}{17}$|D. $\frac{8}{17}$,B,,,,,,,,
q-1770115951320-7,quiz-1770115951320,MULTIPLE_SELECT,Chọn tất cả các phân số bé hơn $\frac{5}{8}$ trong các lựa chọn sau:,A. $\frac{3}{8}$|B. $\frac{7}{8}$|C. $\frac{1}{8}$|D. $\frac{6}{8}$,"[""A"",""C""]",,,,,,,,
q-1770115951320-8,quiz-1770115951320,DRAG_DROP,Điền từ thích hợp vào chỗ trống để hoàn thành quy tắc so sánh:,,,,Trong hai phân số cùng mẫu số: Phân số nào có tử số bé hơn thì [bé hơn]. Phân số nào có tử số [lớn hơn] thì lớn hơn.,"[""bé hơn"",""lớn hơn""]","[""bằng nhau"",""khác nhau""]",,,,
q-1770115951320-10,quiz-1770115951320,SHORT_ANSWER,"Điền dấu (>, <, =) thích hợp: $1$ ... $\frac{5}{4}$",,<,,,,,,,,
q-1770115951320-11,quiz-1770115951320,MCQ,Phân số nào dưới đây bằng 1?,A. $\frac{4}{5}$|B. $\frac{7}{7}$|C. $\frac{9}{8}$|D. $\frac{1}{2}$,B,,,,,,,,
q-1770115951320-13,quiz-1770115951320,MULTIPLE_SELECT,Những phân số nào sau đây lớn hơn $\frac{4}{7}$?,A. $\frac{2}{7}$|B. $\frac{5}{7}$|C. $\frac{6}{7}$|D. $\frac{3}{7}$,"[""B"",""C""]",,,,,,,,
q-1770115951320-14,quiz-1770115951320,MATCHING,,,,"[{""left"":""$\\frac{3}{5}$"",""right"":""Bé hơn $\\frac{4}{5}$""},{""left"":""$\\frac{8}{5}$"",""right"":""Lớn hơn $\\frac{4}{5}$""},{""left"":""$\\frac{4}{5}$"",""right"":""Bằng $\\frac{4}{5}$""}]",,,,,,,
q-1770115951320-15,quiz-1770115951320,MCQ,"Sắp xếp các phân số $\frac{5}{6}$ , $\frac{1}{6}$ , $\frac{3}{6}$ theo thứ tự từ bé đến lớn:","A. $\frac{1}{6}$ , $\frac{5}{6}$ , $\frac{3}{6}$|B. $\frac{1}{6}$ , $\frac{3}{6}$ , $\frac{5}{6}$|C. $\frac{5}{6}$ , $\frac{3}{6}$ , $\frac{1}{6}$|D. $\frac{3}{6}$ , $\frac{1}{6}$ , $\frac{5}{6}$",B,,,,,,,,
q-1770115951320-16,quiz-1770115951320,SHORT_ANSWER,Tìm số tự nhiên x biết: $\frac{x}{5}$ $<$ $\frac{2}{5}$  (x khác 0),,1,,,,,,,,
q-1770115951320-17,quiz-1770115951320,MULTIPLE_SELECT,Chọn các phân số vừa lớn hơn $\frac{2}{9}$ vừa bé hơn $\frac{6}{9}$:,A. $\frac{1}{9}$|B. $\frac{3}{9}$|C. $\frac{4}{9}$|D. $\frac{7}{9}$,"[""B"",""C""]",,,,,,,,
q-1770115951320-18,quiz-1770115951320,DRAG_DROP,Điền các phân số còn thiếu vào dãy phân số theo thứ tự <i>tăng dần</i>:,,,,"$\frac{1}{8}, [\frac{3}{8}], \frac{5}{8}, [\frac{7}{8}]$","[""$\\frac{3}{8}$"",""$\\frac{7}{8}$""]","[""$\\frac{0}{8}$""]",,,,
q-1770115951320-20,quiz-1770115951320,TRUE_FALSE,Bạn Lan nói về các phân số. Hãy kiểm tra xem Lan nói đúng hay sai:,,,"[{""statement"":""Nếu mẫu số bằng nhau, phân số nào có tử số lớn hơn thì lớn hơn."",""isCorrect"":true},{""statement"":""Phân số $\\frac{3}{4}$ lớn hơn phân số $\\frac{5}{4}$."",""isCorrect"":false}]",,,,,,,
q-1770115951320-21,quiz-1770115951320,SHORT_ANSWER,Tìm số tự nhiên x biết: $\frac{3}{8}$ < $\frac{x}{8}$ < \frac{5}{8}$,,4,,,,,,,,
q-1770115951320-22,quiz-1770115951320,MATCHING,,,,"[{""left"":""$\\frac{1}{5}$ + \\frac{2}{5}$"",""right"":""Bé hơn $\\frac{4}{5}$""},{""left"":""$\\frac{3}{5}$ + \\frac{2}{5}$"",""right"":""Bằng $\\frac{5}{5}$""},{""left"":""$\\frac{4}{5}$ + \\frac{2}{5}$"",""right"":""Lớn hơn $\\frac{5}{5}$""}]",,,,,,,
q-1770115951320-24,quiz-1770115951320,MCQ,"Mẹ chia cái bánh thành 8 phần bằng nhau. Hùng ăn $\frac{2}{8}$ cái bánh, Dũng ăn $\frac{3}{8}$ cái bánh. Ai ăn nhiều bánh hơn?",A. Hùng|B. Dũng|C. Hai bạn ăn bằng nhau|D. Không so sánh được,B,,,,,,,,
q-1770115951320-25,quiz-1770115951320,MCQ,Lớp 4A có $\frac{3}{5}$ số học sinh là nữ. Lớp 4B có $\frac{4}{5}$ số học sinh là nữ (sĩ số hai lớp bằng nhau). Lớp nào có số học sinh nữ nhiều hơn?,A. Lớp 4A|B. Lớp 4B|C. Hai lớp bằng nhau|D. Không xác định,B,,,,,,,,
q-1770115951320-26,quiz-1770115951320,MULTIPLE_SELECT,Một quyển sách có 100 trang. Ngày đầu Lan đọc được $\frac{2}{10}$ quyển sách. Ngày thứ hai Lan đọc được $\frac{3}{10}$ quyển sách. Chọn các phát biểu đúng:,A. Ngày thứ hai đọc nhiều hơn ngày đầu.|B. Ngày đầu đọc nhiều hơn ngày thứ hai.|C. Cả hai ngày đọc được $\frac{5}{10}$ quyển sách.|D. Cả hai ngày đọc được $\frac{4}{10}$ quyển sách.,"[""A"",""C""]",,,,,,,,
q-1770115951320-27,quiz-1770115951320,SHORT_ANSWER,Có hai vòi nước cùng chảy vào bể. Vòi thứ nhất chảy được $\frac{3}{7}$ bể. Vòi thứ hai chảy được $\frac{2}{7}$ bể. Hỏi còn bao nhiêu phần bể chưa có nước? (Điền phân số dạng a/b),,2/7,,,,,,,,
q-1770115951320-28,quiz-1770115951320,DRAG_DROP,Điền từ thích hợp vào chỗ trống để hoàn thành bài toán:,,,,"An có một gói kẹo. An cho Bình $\frac{3}{10}$ gói kẹo, cho Chi $\frac{4}{10}$ gói kẹo. Vậy An đã cho Chi [nhiều hơn] cho Bình. Số kẹo An còn lại là [3/10] gói.","[""nhiều hơn"",""$\\frac{3}{10}$""]","[""ít hơn"",""7""]",,,,
q-1770112091029-0,quiz-1770112091029,MCQ,Chủ ngữ trong câu <b>nêu hoạt động</b> thường trả lời cho câu hỏi nào?,"Làm gì?|Thế nào?|Ai, cái gì, con gì?|Ở đâu?",C,,,,,,,,
q-1770112091029-1,quiz-1770112091029,MCQ,"Trong câu ""<b>Đàn hải âu đang chao lượn trên bầu trời</b>."", bộ phận nào là chủ ngữ?",Đàn hải âu|đang chao lượn|trên bầu trời|chao lượn,A,,,,,,,,
q-1770112091029-3,quiz-1770112091029,UNDERLINE,Gạch chân dưới chủ ngữ trong câu sau:,,[],[],,,,,,,
q-1770112091029-5,quiz-1770112091029,TRUE_FALSE,Đánh giá các phát biểu sau về chủ ngữ:,,,"[{""statement"":""Chủ ngữ thường đứng trước vị ngữ trong câu kể."",""isCorrect"":true},{""statement"":""Chủ ngữ luôn luôn chỉ có một từ đơn."",""isCorrect"":false}]",,,,,,,
q-1770112091029-8,quiz-1770112091029,MATCHING,,,,"[{""left"":""Cô giáo đang giảng bài."",""right"":""Ai đang giảng bài?""},{""left"":""Chiếc xe đạp chạy bon bon."",""right"":""Cái gì chạy bon bon?""},{""left"":""Chú mèo đang sưởi nắng."",""right"":""Con gì đang sưởi nắng?""}]",,,,,,,
q-1770112091029-12,quiz-1770112091029,MCQ,"Trong câu 'Dưới bóng tre xanh, đã từ lâu đời, người dân cày Việt Nam dựng nhà, dựng cửa, vỡ ruộng, khai hoang.', chủ ngữ là gì?","Dưới bóng tre xanh|người dân cày Việt Nam|đã từ lâu đời|dựng nhà, dựng cửa",B,,,,,,,,
q-1770112091029-13,quiz-1770112091029,TRUE_FALSE,Xác định đúng/sai về thành phần chủ ngữ trong các câu sau:,,,"[{""statement"":""Trong câu 'Tiếng mưa rơi lộp độp.', chủ ngữ là 'Tiếng mưa'."",""isCorrect"":true},{""statement"":""Trong câu 'Hôm nay, trời đẹp.', chủ ngữ là 'Hôm nay'."",""isCorrect"":false}]",,,,,,,
q-1770112091029-14,quiz-1770112091029,SHORT_ANSWER,"Tìm chủ ngữ trong câu: 'Sáng sớm, bà em đã ra vườn tưới rau.'",,bà em,,,,,,,,
q-1770112091029-15,quiz-1770112091029,MULTIPLE_SELECT,Những câu nào dưới đây có chủ ngữ chỉ người? (Chọn tất cả đáp án đúng),Bố em đang đọc báo.|Con mèo trèo cây cau.|Cô y tá tiêm thuốc cho bệnh nhân.|Chiếc quạt quay vù vù.,"[""A"",""C""]",,,,,,,,
q-1770112091029-16,quiz-1770112091029,MULTIPLE_SELECT,Chọn các câu có chủ ngữ là một cụm danh từ ,Gió thổi mạnh.|Những bông hoa hồng đang tỏa hương thơm ngát.|Mây bay.|Những chiếc áo len màu đỏ này rất ấm.,"[""B"",""D""]",,,,,,,,
q-1770112091029-17,quiz-1770112091029,DRAG_DROP,"Điền các chủ ngữ thích hợp trong ngoặc vào chỗ trống: (Những chú chim, Mặt hồ)",,,,[Mặt hồ] phẳng lặng như một tấm gương khổng lồ. [Những chú chim] hót líu lo chào ngày mới.,"[""Mặt hồ"",""Những chú chim""]","[""Cánh rừng"",""Bầu trời""]",,,,
q-1770112091029-18,quiz-1770112091029,DRAG_DROP,"Phân biệt chủ ngữ và vị ngữ trong câu sau bằng cách điền vào chỗ trống: (Chị Võ Thị Sáu, người con gái đất Đỏ)",,,,Chủ ngữ trong câu 'Chị Võ Thị Sáu là người con gái đất Đỏ' là [Chị Võ Thị Sáu]. Vị ngữ là [là người con gái đất Đỏ].,"[""Chị Võ Thị Sáu"",""là người con gái đất Đỏ""]","[""đất Đỏ"",""người con gái""]",,,,
q-1770112091029-20,quiz-1770112091029,MATCHING,,,,"[{""left"":""Mặt trời"",""right"":""tỏa ánh nắng rực rỡ.""},{""left"":""Bác bảo vệ"",""right"":""đánh trống báo hiệu giờ vào lớp.""},{""left"":""Con chim sơn ca"",""right"":""có giọng hót rất hay.""}]",,,,,,,
q-1770112091029-22,quiz-1770112091029,UNDERLINE,Gạch chân dưới chủ ngữ trong câu sau:,,[],[],,,,,,,
q-1770112091029-23,quiz-1770112091029,MCQ,"Trong câu: 'Ngoài vườn, những bông hoa hồng đang đua nhau khoe sắc.', chủ ngữ là:",Ngoài vườn|những bông hoa hồng|đang đua nhau|khoe sắc,B,,,,,,,,
q-1770112091029-26,quiz-1770112091029,MULTIPLE_SELECT,"Trong các câu sau, câu nào chủ ngữ đóng vai trò là 'người thực hiện hành động' (câu nêu hoạt động)?",Bé Mai đang tập viết.|Mái tóc của bà bạc trắng.|Các bác nông dân đang gặt lúa.|Bầu trời hôm nay rất xanh.,"[""A"",""C""]",,,,,,,,
q-1770112091029-27,quiz-1770112091029,DRAG_DROP,"Điền các chủ ngữ thích hợp vào đoạn văn sau: (Mặt trời, Những giọt sương, Tiếng chim)",,,,[Mặt trời] từ từ nhô lên sau lũy tre làng. [Những giọt sương] long lanh trên lá cỏ. [Tiếng chim] hót ríu rít trong vòm lá.,"[""Mặt trời"",""Những giọt sương"",""Tiếng chim""]","[""Bóng đêm"",""Cơn mưa""]",,,,
q-1770112091029-29,quiz-1770112091029,SHORT_ANSWER,"Xác định chủ ngữ trong câu: ""Cái đuôi dài thướt tha của chú gà trống uốn cong thật đẹp."" (Chữ đầu câu viết hoa)",,Cái đuôi dài thướt tha của chú gà trống,,,,,,,,
q-1769999817119-0,quiz-1769999817119,MCQ,Phân số tối giản là phân số như thế nào?,"A. Là phân số có tử số và mẫu số cùng chia hết cho một số tự nhiên lớn hơn 1.|B. Là phân số không thể rút gọn được nữa.|C. Là phân số có tử số lớn hơn mẫu số.|D. Là phân số có mẫu số bằng 10, 100, 1000.",B,,,,,,,,
q-1769999817119-1,quiz-1769999817119,MCQ,"Trong các phân số sau, phân số nào chưa tối giản?",A. $\frac{1}{3}$|B. $\frac{4}{7}$|C. $\frac{2}{5}$|D. $\frac{6}{8}$,D,,,,,,,,
q-1769999817119-2,quiz-1769999817119,SHORT_ANSWER,Rút gọn phân số $\frac{5}{10}$ ta được phân số tối giản nào? (Viết dạng a/b),,1/2,,,,,,,,
q-1769999817119-3,quiz-1769999817119,TRUE_FALSE,Đánh giá các phát biểu sau về việc rút gọn phân số:,,,"[{""statement"":""Khi rút gọn phân số, ta chia cả tử số và mẫu số cho cùng một số tự nhiên lớn hơn 1."",""isCorrect"":true},{""statement"":""Phân số $\\frac{3}{4}$ có thể rút gọn được nữa."",""isCorrect"":false}]",,,,,,,
q-1769999817119-4,quiz-1769999817119,MATCHING,,,,"[{""left"":""$\\frac{2}{4}$"",""right"":""$\\frac{1}{2}$""},{""left"":""$\\frac{3}{9}$"",""right"":""$\\frac{1}{3}$""},{""left"":""$\\frac{5}{20}$"",""right"":""$\\frac{1}{4}$""}]",,,,,,,
q-1769999817119-5,quiz-1769999817119,MCQ,Số thích hợp để điền vào chỗ chấm: $\frac{12}{16}$ = $\frac{12 : ...}{16 : ...}$ = \frac{3}{4}$ là:,A. 2|B. 3|C. 4|D. 6,C,,,,,,,,
q-1769999817119-6,quiz-1769999817119,MCQ,Phân số nào dưới đây bằng phân số $\frac{2}{3}$?,A. $\frac{4}{9}$|B. $\frac{8}{12}$|C. $\frac{5}{6}$|D. $\frac{20}{31}$,B,,,,,,,,
q-1769999817119-7,quiz-1769999817119,SHORT_ANSWER,Kết quả rút gọn của phân số $\frac{10}{100}$ là bao nhiêu? (Viết dạng a/b),,1/10,,,,,,,,
